Group,SampleID,pc1end,pc2end,Roost,CollectionMonth,Site,Labeler,pc1start,pc2start,DistMethod,Pid
EN-B-July,7272017EGB3,0.00592374890670625,0.0793593106033726,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,7272017EGB4,0.0505357115764963,0.269543552631589,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,7272017EGB5,-0.0277637283281521,0.158333650318963,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,7272017EGB6,0.176805620675284,-0.0371507689308753,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,7272017EGB7,0.196084497991322,0.0582932588041942,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,7272017EGB8,-0.0801420465751142,0.101257218932039,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,7272017EGB9,0.153496309789696,-0.00642613749257955,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-June,6212017EGB1,0.494323906665772,0.0411311503443554,B,June,EN,EN-B,0.196446782223046,-0.0464702560531052,morisita,pid=99
EN-B-June,6212017EGB10,0.209677865155627,-0.075488344817984,B,June,EN,EN-B,0.196446782223046,-0.0464702560531052,morisita,pid=99
EN-B-June,6212017EGB2,0.446324622795541,-0.0118147872196454,B,June,EN,EN-B,0.196446782223046,-0.0464702560531052,morisita,pid=99
EN-B-June,6212017EGB3,-0.115840850495222,-0.0747179106353737,B,June,EN,EN-B,0.196446782223046,-0.0464702560531052,morisita,pid=99
EN-B-June,6212017EGB4,-0.131898273586564,-0.079282795232902,B,June,EN,EN-B,0.196446782223046,-0.0464702560531052,morisita,pid=99
EN-B-June,6212017EGB5,-0.105260727728335,-0.0901473235216748,B,June,EN,EN-B,0.196446782223046,-0.0464702560531052,morisita,pid=99
EN-B-June,6212017EGB6,-0.270278020308945,-0.145129005686742,B,June,EN,EN-B,0.196446782223046,-0.0464702560531052,morisita,pid=99
EN-B-June,6212017EGB7,0.0287675932198991,-0.0874461553337122,B,June,EN,EN-B,0.196446782223046,-0.0464702560531052,morisita,pid=99
EN-B-June,6212017EGB8,0.284479992573315,-0.0284583997154512,B,June,EN,EN-B,0.196446782223046,-0.0464702560531052,morisita,pid=99
EN-B-June,6212017EGB9,0.423150789658836,-0.0218202392082636,B,June,EN,EN-B,0.196446782223046,-0.0464702560531052,morisita,pid=99
EN-B-September,9152017EGB10,0.433815004939684,0.11051324563656,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EGB5,-0.16783551661874,-0.209428945454745,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EGB6,-0.112768463789474,-0.065609057326841,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EgnerB4,0.0952491828981291,-0.14989062027647,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EGB8,0.109140863570524,0.0382613954028181,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EGB9,-0.128491998292211,-0.0573641448417735,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EgnerPoolB4,-0.316405652019644,-0.101569267538643,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EGB7,0.281498090199432,0.0656099312298683,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
