SampleID,SampleType,BatchType,Roost,CollectionMonth,Site,sumNonBatReads,nASVs,Myotis lucifugus,Myotis sodalis,Nycticeius humeralis,multihit,sumBatReads
7272017HBPoolD3,sample,pool,D,7,HickoryBottoms,73811,89,NA,3627,NA,FALSE,3627
7272017HBPoolD4,sample,pool,D,7,HickoryBottoms,38454,92,NA,608,NA,FALSE,608
91517HBPoolD1,sample,pool,D,9,HickoryBottoms,19635,95,NA,91,NA,FALSE,91
91517HBPoolD2,sample,pool,D,9,HickoryBottoms,24347,98,NA,106,NA,FALSE,106
91517HBPoolD3,sample,pool,D,9,HickoryBottoms,20132,122,NA,37,NA,FALSE,37
91517HBPoolD4,sample,pool,D,9,HickoryBottoms,25305,132,NA,NA,NA,NA,NA
9152017EGA1,sample,single,A,9,Egner,28750,19,NA,551,NA,FALSE,551
9152017EGA2,sample,single,A,9,Egner,41947,26,NA,NA,NA,NA,NA
9152017EGA3,sample,single,A,9,Egner,41874,63,NA,NA,NA,NA,NA
9152017EGA4,sample,single,A,9,Egner,28762,24,NA,NA,NA,NA,NA
9152017EGA5,sample,single,A,9,Egner,16089,56,26,644,NA,TRUE,670
9152017EGA6,sample,single,A,9,Egner,21590,41,NA,NA,NA,NA,NA
9152017EGA7,sample,single,A,9,Egner,26673,32,NA,2364,NA,FALSE,2364
9152017EGB10,sample,single,B,9,Egner,74542,38,NA,5462,NA,FALSE,5462
9152017EGB5,sample,single,B,9,Egner,59404,37,NA,87,NA,FALSE,87
9152017EGB6,sample,single,B,9,Egner,52113,12,NA,NA,NA,NA,NA
9152017EGB7,sample,single,B,9,Egner,23170,45,NA,249,NA,FALSE,249
9152017EGB8,sample,single,B,9,Egner,13771,26,NA,5295,NA,FALSE,5295
9152017EGB9,sample,single,B,9,Egner,27491,38,NA,302,NA,FALSE,302
9152017EGC1,sample,single,C,9,Egner,33841,8,NA,NA,NA,NA,NA
9152017EGC10,sample,single,C,9,Egner,30782,28,NA,8155,NA,FALSE,8155
9152017EGC2,sample,single,C,9,Egner,34768,58,NA,32,NA,FALSE,32
9152017EGC3,sample,single,C,9,Egner,29886,33,NA,2312,NA,FALSE,2312
9152017EGC4,sample,single,C,9,Egner,26868,55,NA,231,NA,FALSE,231
9152017EGC5,sample,single,C,9,Egner,16812,47,NA,3759,NA,FALSE,3759
9152017EGC6,sample,single,C,9,Egner,28154,33,NA,649,NA,FALSE,649
9152017EGC7,sample,single,C,9,Egner,11739,42,NA,48,NA,FALSE,48
9152017EGC8,sample,single,C,9,Egner,13609,48,NA,72,NA,FALSE,72
9152017EGC9,sample,single,C,9,Egner,13231,43,NA,2807,NA,FALSE,2807
9152017EGD10,sample,single,D,9,Egner,35717,57,NA,177,NA,FALSE,177
9152017EGD5,sample,single,D,9,Egner,27531,27,NA,27,NA,FALSE,27
9152017EGD6,sample,single,D,9,Egner,23313,27,NA,831,NA,FALSE,831
9152017EGD7,sample,single,D,9,Egner,26823,56,NA,NA,NA,NA,NA
9152017EGD9,sample,single,D,9,Egner,95314,23,NA,NA,NA,NA,NA
9152017EgnerB1,sample,single,B,9,Egner,53510,36,NA,NA,NA,NA,NA
9152017EgnerB2,sample,single,B,9,Egner,53257,57,NA,979,NA,FALSE,979
9152017EgnerB3,sample,single,B,9,Egner,28001,50,NA,256,NA,FALSE,256
9152017EgnerB4,sample,single,B,9,Egner,22570,57,NA,1851,NA,FALSE,1851
