Feature ID	Taxon	Consensus
6fafadf92fa881dc14814b5c4582dd4d	Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Stenolophus;Stenolophus ochropezus	1.0
5abc89f24778475f358822e86679c1bc	Unassigned	1.0
d2efef68ab6bafa1d39102b89bf88944	Unassigned	1.0
c66a8e90d42bd03d3cb221e5f011c9f9	Unassigned	1.0
287802f5a7574ddfb0e27f1c625f2b90	Unassigned	1.0
fc9e3d2647c8f3283af4bca6e2960cad	Unassigned	1.0
5ba4b9e051ff0f529fedb8595f01fca8	Animalia;Arthropoda;Insecta;Lepidoptera;Coleophoridae;Coleophora;Coleophora borea	1.0
69a268dae0c24eb609014e75a2ba5100	Unassigned	1.0
564c9aa49d1f57d06546ed4bb816650d	Animalia;Arthropoda;Arachnida;Araneae;Pisauridae;Dolomedes;Dolomedes scriptus	1.0
a1ebc4bb6f1fe797627601301f034d2c	Unassigned	1.0
d78cd4e8c7b02853eedbf01a03de341c	Unassigned	1.0
39d1f02ac8ed53327cced40bbdbe91e6	Unassigned	1.0
1e4fc5d324153fcbcb5105272178997e	Animalia;Arthropoda;Insecta;Lepidoptera;Geometridae;Macaria;Ambiguous_taxa	1.0
42b8d3622ead8d82f4e0e503d08b84ca	Animalia;Arthropoda;Insecta;Diptera;Culicidae;Psorophora;Psorophora howardii	1.0
9b4b584b5d506f0ba3ce47bcd4a3aeb9	Unassigned	1.0
a608dc6d2ca0870403fb486829d46186	Unassigned	1.0
2060f661322c11c0e10b4609da19fdcb	Unassigned	1.0
ef5c04c7e3153e5d360af75eac09af4f	Animalia;Arthropoda;Insecta;Lepidoptera;Dryadaulidae;Dryadaula;	0.6666666666666666
93c77cf3b934eb24f16cf8996cacee34	Animalia;Arthropoda;Insecta;Lepidoptera;Tortricidae;Pandemis;Pandemis lamprosana	1.0
0333589362a8751a70fa62d1faf99905	Animalia;Arthropoda;Insecta;Hemiptera;Corixidae;Trichocorixa;	1.0
902ec93956cb5cc86127aaf2125966d3	Unassigned	1.0
bd1f1a71d7fb78f76193ba2087569c59	Animalia;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila suzukii	0.9
d4ebdfff2f632287ba46e8dbea1da61c	Animalia;Arthropoda;Arachnida;Araneae;Araneidae;Metepeira;Ambiguous_taxa	0.75
62c7adc24836113a910d3f5f65dc163b	Animalia;Arthropoda;Insecta;Diptera;Clusiidae;Sobarocephala;Sobarocephala setipes	1.0
8fe7d3b9d9aaa681a8d9c83fd477a411	Unassigned	1.0
ff203f395863432252fa036f7530553e	Unassigned	1.0
